,Temperature Predictions,Temperature Actuals,Relative Humidity Predictions,Relative Humidity Actuals
0,27.284147,27.971281357802933,70.27801,70.24596077111113
1,27.400362,26.858055400391255,71.37125,69.17222323198727
2,26.325695,25.621137669933837,67.73393,69.3827600043645
3,25.890007,26.602425736096723,68.351425,72.2881674631702
4,26.810923,27.179654010310184,72.74307,71.95130862736666
5,26.855349,26.462241726644883,71.658325,73.17242190715454
6,26.428041,26.775594218360762,72.08717,70.94073211995598
7,26.55685,26.132396998522907,70.67226,70.41439018901292
8,25.9898,25.975720752664966,69.69079,68.87747175065917
9,25.939947,25.621137669933837,68.84101,70.49860489796379
10,25.917328,25.77781391579178,70.59715,68.07743201562572
11,25.726059,25.687106615558235,67.961105,64.8983267527296
12,25.471834,26.239596535162548,65.14756,65.00359513891824
13,26.113205,26.62716409070587,66.79631,66.20365474146843
14,26.286297,26.08292028930461,67.44585,66.81421138136237
15,25.831663,25.052155513923424,66.7961,65.9931179690912
16,25.13805,25.472707542278947,65.41074,62.70874432000649
17,25.363037,25.414984714857603,63.42934,61.36130897679227
18,25.226866,25.324277414624056,62.280155,61.97186561668619
19,25.352768,26.07467417110156,63.32376,62.45610019315383
20,25.872448,25.57166096071554,64.37715,66.43524519108337
21,25.638445,25.472707542278947,67.24762,67.46687537573177
22,25.493792,25.711844970167384,67.72354,68.09848569286345
23,25.668917,25.74482944297958,68.55332,73.06715352096595
24,26.002365,26.709625272736364,73.82292,72.96188513477732
25,26.33097,26.05818193469546,73.37253,71.19337624680864
26,25.565294,25.4479691876698,69.953094,69.97226296702074
27,25.377026,25.373754123842353,69.751335,71.67761082327627
28,25.56972,26.775594218360762,72.3688,71.74077185498943
29,26.490181,26.445749490238782,73.3628,71.27759095575952
30,25.866144,25.14286281415697,70.85771,70.43544386625062
31,25.235445,24.763541376816693,69.424866,67.2352849261168
32,24.894316,24.83775644064414,67.08973,65.78258119671399
33,24.906815,24.829510322441088,66.84816,65.69836648776307
34,24.890757,25.241816232593564,66.946686,69.08800852303641
35,25.48849,25.769567797588728,71.19532,69.63540413121716
36,25.416426,25.621137669933837,70.4676,70.01437032149617
37,25.28931,25.30778517821796,70.40705,70.91967844271824
38,25.237741,25.217077877984416,71.10745,71.65655714603852
39,25.242805,25.01917104111123,71.84919,71.6144497915631
40,25.07756,25.002678804705127,71.45362,70.37228283453747
41,24.973875,25.10987834134477,70.488846,71.38285934194813
42,25.162111,24.82126420423804,72.31335,71.9934159818421
43,24.92034,25.027417159314275,71.94825,70.68808799310331
44,24.897324,24.425450530491666,71.07737,71.23548360128407
45,24.64428,24.96144821368988,71.26957,66.03522532356664
46,24.473536,24.450188885100815,66.41135,68.18270040181432
47,24.637407,24.6975724311923,69.8412,69.44592103607766
48,24.776514,25.085139986735623,70.69594,69.82488722635668
49,24.886103,25.052155513923424,70.89211,71.23548360128407
50,24.95186,25.835536743213126,72.02721,70.79335637929192
51,25.40577,24.84600255884719,72.6693,74.20405209180296
52,25.006016,25.588153197121642,74.10708,73.57244177467129
53,25.369347,24.425450530491666,74.620125,74.89882344064779
54,24.67288,25.4644614240759,73.957726,74.45669621865564
55,25.339628,25.208831759781365,75.970375,77.15156690508411
56,25.168152,27.047716119061395,77.38756,74.43564254141789
57,26.237572,26.684886918127216,77.00103,80.52015526311969
58,26.255219,26.709625272736364,82.00871,82.54130827794104
59,26.20514,26.148889234929005,82.47652,83.67820684877806
60,25.836163,25.068647750329525,82.918884,87.00468785233818
61,25.369171,25.992212989071064,84.53827,83.10975756335955
62,25.7616,26.49522619945708,82.753296,81.06755087130047
63,26.105764,26.462241726644883,81.68751,78.3937338621097
64,26.04473,25.340769651030158,78.95735,82.28866415108837
65,25.427769,25.89325957063447,82.85495,81.21492661196453
66,25.71582,25.25006235079661,81.69241,83.95190465286845
67,25.303158,25.13461669595392,83.86199,84.98353483751686
68,25.207054,25.942736279852767,84.41828,81.3623023526286
69,25.613548,25.513938133294197,81.511894,80.28856481350472
70,25.275805,25.588153197121642,80.61288,82.16234208766204
71,25.42562,24.92846374087768,83.46168,82.54130827794104
72,24.905474,24.425450530491666,82.31437,84.26770981143429
73,24.688467,24.92846374087768,84.13336,78.07792870354386
74,24.807623,24.6645879583801,77.79782,76.8778691009937
75,24.635355,24.12859027518189,78.24892,79.13061256543
76,24.348757,24.573880658146557,80.377495,81.63600015671895
77,24.675333,24.96969433189293,82.882744,81.69916118843214
78,24.746014,24.878987031659385,82.37215,81.25703396643999
79,24.658476,24.771787495019744,81.83508,80.8149067444478
80,24.610271,23.831730019872108,81.46294,82.56236195517876
81,24.093113,23.77400719245076,82.54147,82.85711343650688
82,24.065693,24.367727703070322,83.11368,83.8255825894421
83,24.405327,23.699792128623315,84.792366,85.08880322370545
84,23.904976,24.53265006713131,84.652115,86.45729224415743
85,24.461113,24.65634184017705,87.32257,88.03631803698661
86,24.396324,24.54914230353741,88.15732,88.01526435974887
87,24.330364,23.534869764562327,87.95826,91.08910123645636
88,23.797108,24.136836393384936,90.119354,88.41528422726562
89,24.16791,24.441942766897768,88.05575,86.85731211167413
90,24.344753,24.021390738542244,87.40315,89.32059234848768
91,24.050764,24.54089618533436,89.93746,89.63639750705352
92,24.420643,24.903725386268533,89.935036,87.72051287842078
93,24.663525,24.639849603770955,87.91846,88.75214306306916
94,24.479397,24.936709859080732,89.40071,89.17321660782362
95,24.742191,24.26877428463373,89.5987,89.6153438298158
96,24.267708,24.08735968416664,89.54524,90.28906150142289
97,24.209679,24.37597382127337,90.56725,88.16264010041294
98,24.415905,24.293512639242877,88.24298,87.99421068251117
99,24.324493,24.590372894552658,88.62819,89.34164602572538
